 ,Label,Area,Mean,X,Y,Feret,%Area,Slice,FeretX,FeretY,FeretAngle,MinFeret
1,Stack:1,0.139,255,0.322,0.114,0.673,100,1,0.000,0.163,14.036,0.272
2,Stack:1,1.404,255,1.099,1.478,3.995,100,1,0.163,3.156,52.193,0.663
3,Stack:1,0.515,255,5.676,0.371,1.275,100,1,5.007,0.054,140.194,0.910
4,Stack:1,0.264,255,8.639,0.293,1.001,100,1,8.218,0.653,22.380,0.569
5,Stack:1,0.498,255,16.695,0.659,2.160,100,1,16.109,0.000,130.914,0.422
6,Stack:1,0.459,255,20.396,0.541,1.480,100,1,20.190,0.000,107.103,0.642
7,Stack:1,0.729,255,23.951,0.598,1.933,100,1,23.020,0.000,147.653,0.987
8,Stack:1,0.163,255,26.970,0.216,0.664,100,1,26.884,0.544,55.008,0.456
9,Stack:1,0.308,255,3.042,0.698,1.316,100,1,2.449,0.327,150.255,0.482
10,Stack:1,0.438,255,14.957,0.895,1.394,100,1,14.585,0.327,128.660,0.468
11,Stack:1,0.145,255,27.707,0.639,0.608,100,1,27.592,0.871,63.435,0.381
12,Stack:1,0.181,255,0.167,1.092,0.809,100,1,0.000,0.599,109.654,0.435
13,Stack:1,0.270,255,7.842,1.124,0.845,100,1,7.619,1.524,75.069,0.649
14,Stack:1,0.290,255,9.218,1.161,1.022,100,1,8.871,0.707,115.201,0.536
15,Stack:1,1.356,255,23.162,2.517,4.836,100,1,21.769,0.762,129.063,0.516
16,Stack:1,0.693,255,4.521,1.274,1.243,100,1,3.864,1.143,156.801,0.862
17,Stack:1,1.315,255,8.096,2.543,4.082,100,1,6.748,0.871,126.870,0.726
18,Stack:1,0.275,255,18.924,1.439,1.352,100,1,18.503,0.925,130.101,0.385
19,Stack:1,0.284,255,13.133,1.589,1.437,100,1,12.789,1.034,127.304,0.385
20,Stack:1,0.634,255,10.938,1.865,2.054,100,1,10.122,1.143,122.005,0.710
21,Stack:1,0.255,255,2.260,1.774,1.132,100,1,1.796,2.122,35.218,0.465
22,Stack:1,0.527,255,5.312,2.200,1.624,100,1,4.680,2.667,50.440,0.760
23,Stack:1,0.533,255,25.465,1.933,1.513,100,1,24.816,2.503,37.694,0.676
24,Stack:1,0.385,255,8.524,1.934,0.939,100,1,8.054,1.905,169.992,0.768
25,Stack:1,0.426,255,12.468,2.833,2.265,100,1,11.810,1.905,125.218,0.354
26,Stack:1,0.323,255,19.137,2.653,1.601,100,1,18.776,1.959,125.311,0.411
27,Stack:1,0.684,255,26.512,2.943,2.134,100,1,25.796,3.810,52.253,0.623
28,Stack:1,0.364,255,1.391,2.810,1.485,100,1,1.088,3.483,61.557,0.436
29,Stack:1,0.148,255,19.971,2.729,0.878,100,1,19.701,2.340,119.745,0.272
30,Stack:1,0.314,255,16.831,2.985,1.317,100,1,16.327,2.395,141.710,0.544
31,Stack:1,0.281,255,24.849,3.034,1.424,100,1,24.381,2.503,136.548,0.337
32,Stack:1,0.492,255,2.437,3.080,1.122,100,1,2.286,3.646,75.964,0.696
33,Stack:1,0.732,255,6.011,3.778,2.380,100,1,5.823,2.612,100.539,0.871
34,Stack:1,0.764,255,22.162,4.140,3.052,100,1,21.061,2.830,129.936,0.423
35,Stack:1,2.879,255,14.342,5.864,6.646,100,1,11.646,2.884,148.392,3.085
36,Stack:1,0.281,255,15.174,3.517,1.634,100,1,14.803,2.884,119.982,0.357
37,Stack:1,0.213,255,27.355,3.927,0.832,100,1,27.265,3.483,101.310,0.435
38,Stack:1,0.113,255,7.570,3.792,0.560,100,1,7.401,4.027,60.945,0.317
39,Stack:1,0.533,255,15.325,4.769,2.385,100,1,14.476,3.646,117.150,0.723
40,Stack:1,0.107,255,16.753,4.110,0.658,100,1,16.599,3.755,114.444,0.381
41,Stack:1,0.388,255,18.659,4.268,1.352,100,1,18.231,3.755,130.101,0.423
42,Stack:1,0.631,255,4.505,4.642,2.049,100,1,4.136,3.864,129.611,0.799
43,Stack:1,0.817,255,14.511,5.210,3.156,100,1,13.170,3.973,136.397,0.717
44,Stack:1,0.228,255,3.138,4.349,0.792,100,1,3.048,4.789,74.055,0.490
45,Stack:1,0.501,255,10.952,4.553,1.022,100,1,10.776,4.027,115.201,0.813
46,Stack:1,0.326,255,7.451,4.725,1.480,100,1,7.020,5.333,53.973,0.417
47,Stack:1,0.110,255,9.867,4.425,0.516,100,1,9.741,4.680,71.565,0.358
48,Stack:1,0.619,255,0.826,5.325,2.049,100,1,0.435,4.463,106.991,0.726
49,Stack:1,0.264,255,22.383,5.415,2.091,100,1,21.714,4.517,128.660,0.259
50,Stack:1,0.335,255,17.240,5.144,1.419,100,1,16.871,4.680,122.471,0.540
51,Stack:1,0.249,255,20.301,5.386,1.080,100,1,19.918,5.170,130.914,0.654
52,Stack:1,0.957,255,12.459,6.369,3.742,100,1,11.429,5.224,130.872,0.542
53,Stack:1,0.118,255,2.472,5.624,0.589,100,1,2.340,5.878,56.310,0.346
54,Stack:1,0.142,255,11.181,5.938,0.616,100,1,10.939,6.095,45.000,0.423
55,Stack:1,0.225,255,21.338,6.062,0.845,100,1,21.224,5.660,104.931,0.494
56,Stack:1,0.560,255,8.547,6.255,1.102,100,1,8.218,6.748,57.095,0.863
57,Stack:1,0.358,255,23.885,6.332,1.253,100,1,23.401,5.878,124.380,0.565
58,Stack:1,0.672,255,3.975,6.788,2.541,100,1,3.156,5.932,133.264,0.501
59,Stack:1,0.290,255,27.275,6.307,1.101,100,1,26.776,6.150,8.531,0.871
60,Stack:1,0.163,255,24.898,6.342,0.816,100,1,24.544,6.095,143.130,0.381
61,Stack:1,0.696,255,1.829,7.257,2.657,100,1,0.653,8.163,34.992,0.776
62,Stack:1,0.877,255,10.729,7.362,2.642,100,1,9.633,6.313,122.381,0.970
63,Stack:1,1.179,255,8.621,8.505,6.242,100,1,6.585,6.585,137.827,0.450
64,Stack:1,0.844,255,19.058,7.732,3.205,100,1,18.068,6.585,130.179,0.440
65,Stack:1,0.634,255,25.810,7.563,1.858,100,1,25.633,8.435,84.958,0.859
66,Stack:1,0.474,255,22.497,7.420,1.438,100,1,21.986,6.857,119.476,0.576
67,Stack:1,0.121,255,23.573,7.152,0.925,100,1,23.347,7.619,61.928,0.263
