 ,Label,X,Y,Width,Height,Area,NearestNeighborDistance,Perimeter,Circularity,Roundness,AR,Solidity,Feret,FeretAR,Compactness,Extent,IntegratedDensity,RawIntegratedDensity,FeretAngle,MinFeret,FeretX,FeretY,XM,YM,BX,BY,Major,Minor,Angle,XStart,YStart
1,Along the build_20.tif,3.042,0.698,1.143,0.707,0.308,1.330,3.424,0.330,0.297,3.371,0.705,1.316,2.731,0.545,0.381,78.545,26520.000,150.255,0.482,2.449,0.327,3.042,0.698,2.449,0.327,1.150,0.341,152.865,45.000,6.000
2,Along the build_20.tif,14.957,0.895,1.088,1.197,0.438,1.951,3.405,0.475,0.268,3.736,0.731,1.394,2.980,0.517,0.336,111.776,37740.000,128.660,0.468,14.585,0.327,14.957,0.895,14.422,0.327,1.444,0.386,130.297,268.000,6.000
3,Along the build_20.tif,30.410,1.020,1.252,1.088,0.607,1.317,3.596,0.590,0.356,2.809,0.860,1.557,2.691,0.597,0.446,154.824,52275.000,36.469,0.578,29.878,1.524,30.410,1.020,29.878,0.544,1.474,0.525,40.032,568.000,10.000
4,Along the build_20.tif,41.991,1.126,0.925,1.143,0.284,1.090,3.084,0.376,0.165,6.053,0.747,1.429,4.494,0.406,0.269,72.503,24480.000,130.365,0.318,41.524,0.653,41.991,1.126,41.524,0.599,1.480,0.245,129.531,765.000,11.000
5,Along the build_20.tif,7.842,1.124,0.653,0.816,0.270,1.059,2.455,0.562,0.885,1.130,0.758,0.845,1.301,0.941,0.506,68.727,23205.000,75.069,0.649,7.619,1.524,7.842,1.124,7.565,0.707,0.623,0.551,73.228,142.000,13.000
6,Along the build_20.tif,9.218,1.161,0.816,0.925,0.290,1.039,2.763,0.478,0.455,2.198,0.718,1.022,1.907,0.675,0.384,74.014,24990.000,115.201,0.536,8.871,0.707,9.218,1.161,8.816,0.707,0.901,0.410,125.972,163.000,13.000
7,Along the build_20.tif,23.162,2.517,3.211,3.755,1.356,1.764,10.202,0.164,0.066,15.043,0.659,4.836,9.373,0.258,0.113,345.900,116790.000,129.063,0.516,21.769,0.762,23.162,2.517,21.714,0.762,5.097,0.339,131.911,400.000,14.000
8,Along the build_20.tif,45.095,3.536,3.701,4.680,1.564,2.176,13.950,0.101,0.077,12.986,0.433,5.802,6.342,0.278,0.090,398.767,134640.000,126.225,0.915,43.102,0.762,45.095,3.536,42.993,0.762,5.085,0.392,126.859,792.000,14.000
9,Along the build_20.tif,33.485,1.785,1.959,2.177,0.726,2.303,6.118,0.244,0.135,7.405,0.732,2.929,6.342,0.367,0.170,185.034,62475.000,131.987,0.462,32.653,0.816,33.485,1.785,32.653,0.816,2.616,0.353,134.730,600.000,15.000
10,Along the build_20.tif,37.334,1.299,0.490,0.925,0.252,2.189,2.686,0.438,0.430,2.325,0.700,0.981,2.003,0.656,0.556,64.195,21675.000,109.440,0.490,37.116,0.816,37.334,1.299,37.116,0.816,0.863,0.371,89.719,682.000,15.000
11,Along the build_20.tif,4.521,1.274,1.143,0.871,0.693,1.218,3.512,0.706,0.727,1.376,0.852,1.243,1.443,0.853,0.696,176.726,59670.000,156.801,0.862,3.864,1.143,4.521,1.274,3.864,0.871,1.102,0.801,162.091,82.000,16.000
12,Along the build_20.tif,8.096,2.543,2.776,3.265,1.315,0.745,9.457,0.185,0.118,8.503,0.493,4.082,5.621,0.343,0.145,335.327,113220.000,126.870,0.726,6.748,0.871,8.096,2.543,6.639,0.871,3.773,0.444,134.476,124.000,16.000
13,Along the build_20.tif,18.924,1.439,0.925,1.034,0.275,1.233,2.930,0.403,0.240,4.168,0.732,1.352,3.513,0.490,0.288,70.237,23715.000,130.101,0.385,18.503,0.925,18.924,1.439,18.449,0.925,1.209,0.290,131.336,340.000,17.000
14,Along the build_20.tif,29.189,1.513,0.980,1.252,0.592,1.317,3.506,0.605,0.387,2.583,0.833,1.494,2.248,0.622,0.483,151.048,51000.000,123.111,0.665,28.680,0.980,29.189,1.513,28.626,0.980,1.396,0.540,129.350,527.000,18.000
15,Along the build_20.tif,13.133,1.589,0.980,1.143,0.284,1.411,3.270,0.334,0.201,4.975,0.688,1.437,3.734,0.448,0.254,72.503,24480.000,127.304,0.385,12.789,1.034,13.133,1.589,12.680,1.034,1.342,0.270,135.200,235.000,19.000
16,Along the build_20.tif,10.938,1.865,1.415,1.741,0.634,1.810,5.186,0.296,0.293,3.413,0.585,2.054,2.894,0.541,0.257,161.622,54570.000,122.005,0.710,10.122,1.143,10.938,1.865,10.122,1.143,1.660,0.486,122.786,186.000,21.000
17,Along the build_20.tif,49.757,2.480,2.612,2.776,0.974,1.726,9.380,0.139,0.153,6.552,0.494,3.774,4.969,0.391,0.134,248.474,83895.000,132.663,0.760,48.435,1.143,49.757,2.480,48.381,1.143,2.851,0.435,134.382,890.000,21.000
18,Along the build_20.tif,40.801,1.515,0.599,0.707,0.213,1.197,2.083,0.617,0.613,1.631,0.750,0.779,1.430,0.783,0.503,54.377,18360.000,114.775,0.545,40.707,1.197,40.801,1.515,40.490,1.197,0.666,0.408,112.539,748.000,22.000
19,Along the build_20.tif,39.262,4.450,3.156,5.986,1.712,1.493,16.878,0.076,0.077,12.914,0.364,6.622,7.068,0.278,0.091,436.529,147390.000,115.301,0.937,37.932,1.306,39.262,4.450,37.660,1.306,5.305,0.411,117.547,697.000,24.000
20,Along the build_20.tif,2.260,1.774,0.925,0.871,0.255,1.318,3.026,0.350,0.300,3.334,0.570,1.132,2.434,0.548,0.316,64.951,21930.000,35.218,0.465,1.796,2.122,2.260,1.774,1.796,1.361,1.040,0.312,46.201,43.000,25.000
21,Along the build_20.tif,54.722,3.004,1.687,3.265,0.900,0.853,7.973,0.178,0.087,11.557,0.667,3.651,8.148,0.294,0.163,229.593,77520.000,116.565,0.448,53.932,1.361,54.722,3.004,53.932,1.361,3.640,0.315,116.085,991.000,25.000
22,Along the build_20.tif,5.312,2.200,1.034,1.252,0.527,1.218,4.231,0.370,0.472,2.118,0.673,1.624,2.135,0.687,0.407,134.433,45390.000,50.440,0.760,4.680,2.667,5.312,2.200,4.680,1.415,1.192,0.563,66.445,103.000,26.000
23,Along the build_20.tif,25.465,1.933,1.415,1.088,0.533,1.261,3.891,0.442,0.302,3.309,0.674,1.513,2.239,0.550,0.346,135.943,45900.000,37.694,0.676,24.816,2.503,25.465,1.933,24.762,1.415,1.499,0.453,30.432,472.000,26.000
24,Along the build_20.tif,8.524,1.934,0.925,0.871,0.385,0.745,2.808,0.614,0.859,1.165,0.758,0.939,1.224,0.927,0.478,98.181,33150.000,169.992,0.768,8.054,1.905,8.524,1.934,8.054,1.469,0.756,0.649,18.830,154.000,27.000
25,Along the build_20.tif,39.418,1.972,0.871,0.707,0.175,1.349,2.391,0.384,0.241,4.144,0.674,1.027,3.212,0.491,0.284,44.559,15045.000,32.005,0.320,39.020,2.177,39.418,1.972,39.020,1.633,0.960,0.232,36.808,731.000,30.000
26,Along the build_20.tif,41.871,2.209,0.599,0.816,0.184,1.090,2.527,0.361,0.310,3.226,0.663,0.952,2.461,0.557,0.376,46.825,15810.000,120.964,0.387,41.633,1.796,41.871,2.209,41.578,1.796,0.868,0.269,119.100,765.000,33.000
27,Along the build_20.tif,12.468,2.833,1.361,1.850,0.426,1.411,4.937,0.220,0.098,10.206,0.640,2.265,6.390,0.313,0.169,108.755,36720.000,125.218,0.354,11.810,1.905,12.468,2.833,11.810,1.905,2.354,0.231,125.176,217.000,35.000
28,Along the build_20.tif,31.152,2.302,1.143,1.088,0.355,1.083,4.218,0.251,0.508,1.969,0.445,1.316,1.606,0.713,0.286,90.629,30600.000,29.745,0.820,30.694,2.721,31.152,2.302,30.694,1.905,0.944,0.479,37.888,580.000,35.000
29,Along the build_20.tif,19.137,2.653,1.034,1.306,0.323,0.837,3.981,0.256,0.195,5.117,0.592,1.601,3.890,0.442,0.239,82.321,27795.000,125.311,0.411,18.776,1.959,19.137,2.653,18.667,1.959,1.450,0.283,125.052,345.000,36.000
30,Along the build_20.tif,40.561,2.688,1.524,1.578,0.675,1.197,5.186,0.315,0.317,3.157,0.628,2.156,2.735,0.563,0.281,172.195,58140.000,47.045,0.789,39.891,3.646,40.561,2.688,39.891,2.068,1.647,0.522,41.266,758.000,38.000
31,Along the build_20.tif,26.512,2.943,1.361,1.741,0.684,1.296,4.969,0.348,0.214,4.676,0.662,2.134,3.424,0.462,0.289,174.461,58905.000,52.253,0.623,25.796,3.810,26.512,2.943,25.796,2.122,2.018,0.432,46.868,496.000,39.000
32,Along the build_20.tif,1.391,2.810,0.762,1.306,0.364,1.081,3.334,0.412,0.287,3.489,0.774,1.485,3.403,0.535,0.366,92.895,31365.000,61.557,0.436,1.088,3.483,1.391,2.810,1.034,2.177,1.272,0.365,59.052,31.000,40.000
33,Along the build_20.tif,43.130,2.600,0.599,0.653,0.166,1.248,1.930,0.560,0.300,3.330,0.794,0.886,2.932,0.548,0.424,42.293,14280.000,132.510,0.302,42.830,2.286,43.130,2.600,42.830,2.286,0.839,0.252,128.440,787.000,42.000
34,Along the build_20.tif,19.971,2.729,0.544,0.762,0.148,0.837,1.975,0.477,0.249,4.015,0.769,0.878,3.229,0.499,0.357,37.762,12750.000,119.745,0.272,19.701,2.340,19.971,2.729,19.701,2.340,0.870,0.217,123.346,362.000,43.000
